ETid,Country,Date,Fine,Fine_cleaned,Controller,Quoted_Art,Type,Source,year
ETid-52,HUNGARY,2019-04-17,"9,400",9400,Unknown,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2019
ETid-97,POLAND,2019-10-18,"9,380",9380,Major of Aleksandrów Kujawski,Art. 28 GDPR,Insufficient data processing agreement,link,2019
ETid-909,CYPRUS,2021-11-12,"925,000",925000,WS WiSpear Systems Ltd,Art. 5 (1) a) GDPR,Non-compliance with general data processing principles,link,2021
ETid-61,HUNGARY,2019-05-23,"92,146",92146,Organizer of SZIGET festival and VOLT festival,"Art. 6 GDPR, Art. 5 (1) b) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link,2019
ETid-1250,UNITED KINGDOM,2022-06-09,"91,000",91000,Tavistock & Portman NHS Foundation Trust,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link link,2022
ETid-978,FRANCE,2021-12-31,"90,000,000",90000000,Google LLC,Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,link link,2021
ETid-1190,UNITED KINGDOM,2022-05-18,"9,000,000",9000000,Clearview Al Inc.,"Art. 5 (1) a), e) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 14 GDPR, Art. 15 GDPR, Art. 16 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 22 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link link,2022
ETid-1656,NORWAY,2023-02-06,"900,000",900000,Sats ASA,"Art. 5 (1) a), e) GDPR, Art. 6 (1) GDPR, Art. 12 (1), (3) GDPR, Art. 13 GDPR, Art. 15 GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights,link,2023
ETid-1313,GERMANY,2022-07-28,"900,000",900000,Hannoversche Volksbank,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2022
ETid-1059,SPAIN,2022-02-01,"900,000",900000,"TELEFÓNICA MÓVILES ESPAÑA, S.A.U.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link,2022
ETid-846,GERMANY,2021-09-24,"900,000",900000,Vattenfall Europe Sales GmbH,"Art. 12 GDPR, Art. 13 GDPR",Insufficient data processing agreement,link,2021
ETid-128,GERMANY,2020-11-11,"900,000",900000,Telecoms provider (1&1 Telecom GmbH),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-107,THE NETHERLANDS,2019-10-31,"900,000",900000,UWV (Dutch employee insurance service provider),Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2019
ETid-689,IRELAND,2021-03-23,"90,000",90000,Irish Credit Bureau DAC,"Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-636,SPAIN,2021-04-13,"90,000",90000,"Vodafone España, S.A.U.",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2021
ETid-593,SPAIN,2021-03-10,"90,000",90000,Xfera Moviles S.A.,"Art. 5 (1) f) GDPR, Art. 17 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-1819,CYPRUS,2023-05-02,"9,000",9000,"NAGA Markets Europe Ltd","Art. 5 (1) f) GDPR, Art. 32 (1) b), d) GDPR",Insufficient technical and organisational measures to ensure information security,link,2023
ETid-1617,GERMANY,2023,"9,000",9000,Magdeburg University Hospital,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,link,2023
ETid-1614,ITALY,2022-10-20,"9,000",9000,Azienda Ospedaliero-Universitaria Careggi di Firenze,"Art. 5 (1) f) GDPR, Art. 9 GDPR, Art. 32 GPDR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1472,SPAIN,2022-10-25,"9,000",9000,EL RACO DEL PIS INVERSIONES S.L.,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1334,SPAIN,2022-08-05,"9,000",9000,"Prodesspa Decoratius i Pintures , S.L.",Art. 6 GDPR,Insufficient legal basis for data processing,link,2022
ETid-1134,SPAIN,2022-04-18,"9,000",9000,"JIMBO NETWORKS, S.L.","Art. 6 (1) GDPR, Art. 13 GDPR, Art. 22 (2) LSSI",Insufficient fulfilment of information obligations,link,2022
ETid-983,SPAIN,2022-01-11,"9,000",9000,EDUCANDO JUNTOS SL,"Art. 6 (1) GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,link,2022
ETid-918,SPAIN,2021-11-24,"9,000",9000,UNIÓN FINANCIERA ASTURIANA S.A. E.F.C.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2021
ETid-835,SPAIN,2021-09-13,"9,000",9000,Website operator,"Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link,2021
ETid-574,SPAIN,2021-03-02,"9,000",9000,Unknown,"Art. 6 GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link,2021
ETid-234,ICELAND,2020-03-10,"9,000",9000,Breiðholt Upper Secondary School,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-178,CYPRUS,2020-01-13,"9,000",9000,"Social Insurance Services of the Ministry of Labor, Welfare and Social Insurance",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-137,SPAIN,2019,"9,000",9000,Employer,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2019
ETid-88,ROMANIA,2019-09-26,"9,000",9000,Inteligo Media SA,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Insufficient legal basis for data processing,link,2019
ETid-1629,ITALY,2022-10-20,900,900,"Istituto di Istruzione Superiore G. Renda di Polistena, Reggio Calabria","Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 2-ter Codice della privacy",Insufficient legal basis for data processing,link,2022
ETid-1489,SPAIN,2022-11-10,900,900,Homeowners Association,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-1429,SPAIN,2022-10-09,900,900,Private individual,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1364,SPAIN,2022-08-22,900,900,"UNONO NET 3.0, S.L.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1052,SPAIN,2022-02-04,900,900,Private person,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2022
ETid-784,SPAIN,2021-07-27,900,900,Owners Association,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2021
ETid-691,SPAIN,2021-05-25,900,900,Managing Director of a company,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2021
ETid-415,SPAIN,2020-10-09,900,900,Café Restaurante B.B.B,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,link,2020
ETid-105,SPAIN,2019-11-06,900,900,Cerrajero Online,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2019
ETid-103,SPAIN,2019-11-07,900,900,TODOTECNICOS24H S.L.,Art. 13 GDPR,Insufficient fulfilment of information obligations,link,2019
ETid-1093,CROATIA,2022-03-08,"89,250",89250,Retail company (name not available at the moment),"Art. 32 (1) b), d) GDPR, Art. 32 (2) GDPR, Art. 32 (4) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-284,HUNGARY,2020-03-09,870,870,Creditor,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-256,HUNGARY,2019-07-17,"8,575",8575,Budapest Environs Regional Court,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2019
ETid-186,ITALY,2019-12-11,"8,500,000",8500000,Eni Gas e Luce,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,link,2019
ETid-1254,FINLAND,2022-05-09,"85,000",85000,Otavamedia Oy,"Art. 5 (1) c) GDPR, Art. 12 (1), (2), (3), (4), (6) GDPR, Art. 15 GDPR, Art. 17 GDPR, Art. 25 GDPR",Insufficient fulfilment of data subjects rights,link link,2022
ETid-570,IRELAND,2020-08-12,"85,000",85000,Tusla Child and Family Agency,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,link,2020
ETid-744,FINLAND,2021-06-24,"8,500",8500,Magazine publisher,"Art. 5 (1) a) GDPR, Art. 7 (2), (4) GDPR, Art. 12 (2) GDPR, Art. 21 (2) GDPR, Art. 24 (1) GDPR, Art. 28 (1), (3) GDPR",Insufficient legal basis for data processing,link,2021
ETid-1017,HUNGARY,2021-12-03,843,843,Lawyer,"Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR",Insufficient legal basis for data processing,link,2021
ETid-1751,SPAIN,2023-04-04,"84,000",84000,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","Art. 6 (1) GDPR, Art. 15 GDPR",Insufficient legal basis for data processing,link,2023
ETid-747,ITALY,2021-05-13,"84,000",84000,Comune di Bolzano,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 13 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link,2021
ETid-334,THE NETHERLANDS,2020-07-06,"830,000",830000,Bureau Krediet Registration ('BKR'),"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,link,2020
ETid-1189,FINLAND,2022-04-29,"8,300",8300,Telemarketing company,Art. 58 (2) GDPR,Insufficient cooperation with supervisory authority,link,2022
ETid-594,SPAIN,2021-03-11,"8,150,000",8150000,"Vodafone España, S.A.U.","Art. 28 GDPR, Art. 24 GDPR, Art. 44 GDPR, Art. 21 LSSI, Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 LOPDGDD",Insufficient fulfilment of data subjects rights,link,2021
ETid-1815,HUNGARY,2022-09-12,"80,700",80700,Coin dealer,"Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 7 (2) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link link,2022
ETid-1812,HUNGARY,2022,"80,700",80700,Beauty salon,Unknown,Insufficient legal basis for data processing,link,2022
ETid-757,DENMARK,2021-07-09,"80,700",80700,Medicals Nordic I/S,Unknown,Non-compliance with general data processing principles,link,2021
ETid-1824,HUNGARY,2023-02-06,"80,500",80500,I&S Limited Kft,"Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR, Art. 13 (1), (2) GDPR, Art. 24 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,link,2023
ETid-988,AUSTRIA,2022-01-14,"8,000,000",8000000,REWE International AG,Unknown,Unknown,link,2022
ETid-1496,FRANCE,2022-11-10,"800,000",800000,DISCORD INC.,"Art. 5 (1) e) GDPR, Art. 13 GDPR, Art. 25 (2) GDPR, Art. 32 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link link,2022
ETid-827,ITALY,2021-07-22,"800,000",800000,Roma Capitale,"Art. 5 GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 28 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,link link,2021
ETid-454,FRANCE,2020-11-18,"800,000",800000,Carrefour Banque,Art. 5 GDPR,Non-compliance with general data processing principles,link,2020
ETid-337,ITALY,2020-07-13,"800,000",800000,Iliad Italia S.p.A.,"Art. 5 GDPR, Art. 25 GDPR",Non-compliance with general data processing principles,link,2020
ETid-1492,SPAIN,2022-11-15,"80,000",80000,"BANKINTER, S.A.","Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Non-compliance with general data processing principles,link,2022
ETid-661,ITALY,2021-03-11,"80,000",80000,Planet Group Spa,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 21 (2), (3) GDPR, Art. 12 (3) GDPR, Art. 25 (1) GDPR",Insufficient legal basis for data processing,link,2021
ETid-406,ITALY,2020-09-30,"80,000",80000,Azienda Ospedaliera di Rilievo Nazionale 'Antonio Cardarelli' (Private Hospital),"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 28 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2020
ETid-349,SPAIN,2020-07-20,"80,000",80000,Orange Espagne S.A.U.,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-209,SPAIN,2020-02-14,"80,000",80000,Iberdrola Clientes,Art. 6 GDPR,Insufficient legal basis for data processing,link,2020
ETid-101,GERMANY,2019,"80,000",80000,Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2019
ETid-27,GERMANY,2019-04-12,"80,000",80000,Company in the financial sector,"Art. 5 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2019
ETid-1822,HUNGARY,2022-04-22,"8,000",8000,Political party,"Art. 5 (2) GDPR, Art. 32 (1) a), b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,link link,2022
ETid-1811,HUNGARY,2022-12-21,"8,000",8000,Hotel,"Art. 5 (1) e) GDPR, Art. 6 (1) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 31 GDPR",Insufficient legal basis for data processing,link link,2022
ETid-1635,ITALY,2022-12-15,"8,000",8000,Comune di Vicchio,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 9 (2), (4) GDPR",Insufficient legal basis for data processing,link,2022
ETid-1522,SPAIN,2022-12-09,"8,000",8000,Notary,Art. 6 GDPR,Insufficient legal basis for data processing,link,2022
ETid-1468,SPAIN,2022-10-24,"8,000",8000,"ADSL HOUSE, S.L.","Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 (4) LOPDGDD",Insufficient fulfilment of data subjects rights,link,2022
ETid-1393,ROMANIA,2022-09-08,"8,000",8000,Realmedia Network SA,"Art. 32 (1) b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1173,SPAIN,2022-05-17,"8,000",8000,"TIGERS MARKET, S.L.","Art. 48 (1) b) LGT, Art. 21 GDPR, Art. 23 (4) LOPDGDD",Insufficient fulfilment of data subjects rights,link,2022
ETid-1133,ITALY,2022-03-10,"8,000",8000,Agenzia Regionale per la Tutela dell'Ambiente dell'Abruzzo,"Art. 5 (1) a), c) GDPR, Art. 6 GDPR, Art. 10 GDPR, Art. 2-ter Codice della privacy, Art. 2-octies Codice della privacy",Insufficient legal basis for data processing,link,2022
ETid-1130,SPAIN,2022-04-13,"8,000",8000,"RAMONA FILMS, S.L.","Art. 13 GDPR, Art. 22 (2) LSSI",Insufficient fulfilment of information obligations,link,2022
ETid-932,ITALY,2021-10-14,"8,000",8000,Health Protection Agency of Sardinia (ATS),"Art. 5 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link,2021
ETid-842,GREECE,2021-09-03,"8,000",8000,Rhodes Municipal Transport Company,"Art. 5 (1) c) GDPR, Art. 12 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,link,2021
ETid-739,LITHUANIA,2020,"8,000",8000,Unknown,"Art. 5 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link,2020
ETid-642,SPAIN,2021-04-20,"8,000",8000,Highcliffe Estates Marbella S.L.,Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2021
ETid-588,SPAIN,2021-03-10,"8,000",8000,Filigrana Comunicación S.L.U.,"Art. 6 (1) GDPR, Art. 13 GPDR, Art. 14 GDPR",Insufficient fulfilment of information obligations,link,2021
ETid-556,ITALY,2021-01-14,"8,000",8000,Agenzia regionale protezione ambientale Campania (ARPAC),"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-400,GREECE,2020-09-11,"8,000",8000,Private Person,Art. 5 GDPR,Non-compliance with general data processing principles,link,2020
ETid-250,GREECE,2020-03-20,"8,000",8000,Speech and Special Education Centre - Mihou Dimitra,"Art. 15 GDPR, Art. 58 GDPR",Insufficient fulfilment of data subjects rights,link,2020
ETid-94,SPAIN,2019-10-16,"8,000",8000,Iberdrola Clientes,Art. 31 GDPR,Insufficient cooperation with supervisory authority,link,2019
ETid-1783,GERMANY,2022,800,800,Police officer,Unknown,Insufficient legal basis for data processing,link,2022
ETid-1774,SPAIN,2023-02-28,800,800,UUDJOB WORLDWIDE S.L.,"Art. 12 GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights,NA,2023
ETid-1676,SPAIN,2023-02-28,800,800,EUROPYMES SERVICIOS INTEGRALES S.L.,Art. 17 GDPR,Insufficient fulfilment of data subjects rights,link,2023
ETid-1430,SPAIN,2022-10-09,800,800,Company,"Art. 6 (1) e) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,link,2022
ETid-1366,SPAIN,2022-07-12,800,800,"SMART ELECTRIC SOLUTIONS, S.L.","Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2022
ETid-1315,SPAIN,2022-07-26,800,800,"EFS MANTENIMIENTO Y SERVICIOS TÉCNICOS, S.L.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,link,2022
ETid-200,SPAIN,2020-02-03,800,800,Automoción,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-143,GERMANY,2019,800,800,Police Officer,Art. 6 GDPR,Insufficient legal basis for data processing,link,2019
ETid-901,POLAND,2021-10-14,"78,000",78000,Bank Millennium S.A,"Art. 33 (1) GDPR, Art. 34 (1) GDPR",Insufficient fulfilment of data breach notification obligations,link,2021
ETid-426,SPAIN,2020-09-22,"7,800",7800,"Iweb Internet Learning, S.L.","Art. 7 GDPR, Art. 12 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,link,2020
ETid-17,CZECH REPUBLIC,2019-02-26,776,776,Unknown,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2019
ETid-749,LUXEMBOURG,2021-06-11,"7,600",7600,Unknown,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,link,2021
ETid-859,NORWAY,2021-09-20,"75,600",75600,ST. OLAVS HOSPITAL HF,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2021
ETid-1696,IRELAND,2023-02-27,"750,000",750000,Bank of Ireland 365,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security,link,2023
ETid-1565,FINLAND,2022-12-13,"750,000",750000,Alektum Oy,"Art. 12 (3) GDPR, Art. 15 (1), (3) GDPR",Insufficient fulfilment of data subjects rights,link link,2022
ETid-770,THE NETHERLANDS,2021-04-09,"750,000",750000,TikTok,Art. 12 GDPR,Insufficient fulfilment of information obligations,link,2021
ETid-1801,SPAIN,2022-11-03,"75,000",75000,Burwebs S.L.,"Art. 5 (1) a), b), e) GDPR, Art. 12 (2) GDPR, Art. 13 GDPR, Art. 25 GDPR, Art. 30 (1) GDPR, Art. 22 (2) LSSI",Non-compliance with general data processing principles,link,2022
ETid-994,BELGIUM,2021-12-16,"75,000",75000,Bank,Art. 38 (6) GDPR,Insufficient involvement of data protection officer,link,2021
ETid-990,GREECE,2021-12-29,"75,000",75000,Greek Ministry of Tourism,"Art. 13 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 37 GDPR",Insufficient technical and organisational measures to ensure information security,link,2021
ETid-665,FINLAND,2021-04-21,"75,000",75000,ParkkiPate Oy,"Art. 5 (1) c) GDPR, Art. 12 (3), (4), (6) GDPR, Art. 14 (2) a) GDPR, Art. 14 (3) GDPR, Art. 15 GDPR, Art. 17 (1) a) GDPR, Art. 25 (2) GDPR",Insufficient fulfilment of data subjects rights,link,2021
ETid-600,ITALY,2021-01-14,"75,000",75000,Regione Lazio,"Art. 5 (2) GDPR, Art. 28 GDPR",Insufficient data processing agreement,link,2021
ETid-599,ITALY,2021-02-11,"75,000",75000,Ministero dello Sviluppo Economico,"Art. 5 (1) a), b), c) GDPR, Art. 6 (1) c), e) GDPR, Art. 6 (2) GDPR, Art. 6 (3) b) GDPR, Art. 37 (1), (7) GDPR",Non-compliance with general data processing principles,link,2021
ETid-536,FRANCE,2021-01-27,"75,000",75000,Unknown,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2021
ETid-534,SPAIN,2021-01-21,"75,000",75000,"Telefónica Móviles España, SAU",Art. 6 (1) GDPR,Insufficient legal basis for data processing,link,2021
ETid-436,SPAIN,2020-11-05,"75,000",75000,"Telefonica Moviles Espana, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-389,SPAIN,2020-09-01,"75,000",75000,"Telefónica Móviles España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-354,SPAIN,2020-07-23,"75,000",75000,"Telefónica Móviles España, SAU","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-311,SPAIN,2020-06-15,"75,000",75000,Xfera Moviles S.A.,Art. 6 GDPR,Insufficient legal basis for data processing,link,2020
ETid-288,SPAIN,2020-06-09,"75,000",75000,"Equifax Iberica, S.L.",Art. 15 GDPR,Insufficient fulfilment of data subjects rights,link,2020
ETid-278,IRELAND,2020-05-17,"75,000",75000,Tusla Child and Family Agency,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-197,SPAIN,2020-02-03,"75,000",75000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-193,SPAIN,2020-02-03,"75,000",75000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-174,SPAIN,2020-01-07,"75,000",75000,"EDP Comercializadora, S.A.U.",Art. 6 GDPR,Insufficient legal basis for data processing,link,2020
ETid-173,SPAIN,2020-01-07,"75,000",75000,EDP España S.A.U.,Art. 6 GDPR,Insufficient legal basis for data processing,link,2020
ETid-141,SPAIN,2019-11-28,"75,000",75000,Curenergía Comercializador de último recurso,Art. 6 GDPR,Insufficient legal basis for data processing,link,2019
ETid-1625,CYPRUS,2022,"7,500",7500,DW Dynamic Works LIMITED,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,link,2022
ETid-1121,BELGIUM,2022-04-01,"7,500",7500,Company,"Art. 5 (1) a) GDPR, Art. 6 (1) f) GDPR, Art. 15 GDPR, Art. 17 GDPR, Art. 18 GDPR, Art. 21 GDPR, Art. 28 GDPR",Insufficient fulfilment of data subjects rights,link,2022
ETid-1065,ITALY,2022-01-13,"7,500",7500,Azienda Sanitaria Locale Frosinone,"Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,link,2022
ETid-672,THE NETHERLANDS,2020-06-16,"7,500",7500,PVV Overijssel,Art. 33 GDPR,Insufficient fulfilment of data breach notification obligations,link,2020
ETid-307,SPAIN,2020-06-23,"7,500",7500,Miraclia (telecommunications company),"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2020
ETid-778,LUXEMBOURG,2021-07-16,"746,000,000",746000000,Amazon Europe Core S.à.r.l.,Unknown,Non-compliance with general data processing principles,link,2021
ETid-150,HUNGARY,2019-10-24,"7,400",7400,Military Hospital,"Art. 32 GDPR, Art. 33 GDPR",Insufficient fulfilment of data breach notification obligations,link,2019
ETid-1781,GERMANY,2022,"7,380",7380,Police officer,Unknown,Insufficient legal basis for data processing,link,2022
ETid-1406,HUNGARY,2022-08-08,735,735,Company,"Art. 5 (1) b), c) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1), (2) GDPR",Non-compliance with general data processing principles,link,2022
ETid-508,FRANCE,2020-12-07,"7,300",7300,Perfomeclic,"Art. 5 (1) c), e) GDPR, Art. 14 GDPR, Art. 21 GDPR, Art. 28 GDPR",Insufficient legal basis for data processing,link link,2020
ETid-274,THE NETHERLANDS,2020-04-30,"725,000",725000,Unknown Organisation,"Art. 5 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,link,2020
ETid-1440,HUNGARY,2022-10-05,"72,500",72500,Bank,"Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR",Insufficient legal basis for data processing,link,2022
ETid-515,NORWAY,2021-01-07,"7,250",7250,Gveik AS,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,link,2021
ETid-1112,SWEDEN,2022-03-28,"720,000",720000,Klarna Bank AB,"Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 12 (1) GDPR, Art. 13 (2) f) GDPR, Art. 14 (2) g) GDPR",Insufficient fulfilment of information obligations,link link,2022
ETid-283,FINLAND,2020-05-29,"72,000",72000,Taksi Helsinki,"Art. 5 GDPR, Art. 6 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,link,2020
